gene_name,tumor_samples_count,normal_samples_count,avg(tumor),avg(normal),avg(tumor)/avg(normal),avg(tumor)=0_count,avg(normal)=0_count
TGFBR2,497,52,10.3018148893,11.2108923077,0.9189112344132919,0,0
ITGA8,497,52,6.98533219316,8.71286730769,0.8017259928877639,3,0
ITGA9,497,52,6.88071187123,8.47779615385,0.8116156305675933,0,0
STK40,497,52,10.3334406439,10.5623346154,0.9783292255115607,0,0
MYO3B,497,52,2.21421408451,3.03252884615,0.7301543354864793,24,0
ATP2A1,497,52,3.77012052314,4.732775,0.7965983008148142,0,0
ATP2A2,497,52,12.3234507042,12.7004942308,0.9703126886487283,0,0
ATP2A3,497,52,9.74407404427,10.630875,0.916582505604251,0,0
ITGA1,497,52,9.30055694165,10.5017326923,0.8856211840606425,0,0
ITGA2,497,52,8.34053923541,9.83914615385,0.8476893324886864,0,0
ITGA3,497,52,10.2453156942,11.2231653846,0.9128722016525906,0,0
ITGA4,497,52,6.70245774648,6.88795192308,0.9730697631647831,0,0
ITGA5,497,52,10.4869273642,11.5291538462,0.9096007828608841,0,0
ITGA6,497,52,11.209410664,11.7191807692,0.9565012166562621,0,0
ITGA7,497,52,9.26804708249,10.2019615385,0.9084573635721231,0,0
TRHR,497,52,0.0365219315895,0.0301211538462,1.2125010806716052,460,49
LOC100132288,497,52,8.07154265594,7.55611923077,1.0682127173255196,0,0
DENND4A,497,52,8.6322501006,8.81772115385,0.9789661013308826,0,0
DENND4B,497,52,9.3953889336,9.14114230769,1.0278134414005733,0,0
DENND4C,497,52,10.2982837022,10.5640557692,0.9748418530890774,0,0
SWAP70,497,52,9.88686338028,10.1961134615,0.9696698077729994,0,0
RARRES1,497,52,8.23745331992,9.46252884615,0.8705340246616764,0,0
LOC100132287,497,52,8.27997102616,7.80767884615,1.0604907283341642,0,0
PHLDA3,497,52,9.33814748491,10.1301557692,0.921816771393886,0,0
PHLDA2,497,52,7.81157645875,7.85718461538,0.9941953563694053,0,0
TACO1,497,52,8.59744768612,8.441975,1.0184166247965316,0,0
PMM1,497,52,9.92745452716,9.48838076923,1.0462748880563533,0,0
GAP43,497,52,3.24404346076,3.15436153846,1.0284310854065224,9,1
NENF,497,52,10.4519488934,10.3696115385,1.0079402545209364,0,0
SQLE,497,52,9.68201991952,9.91978846154,0.9760308858456763,0,0
MRPL28,497,52,10.1971056338,9.94070576923,1.025792923613701,0,0
LOC100289341,497,52,5.49642676056,5.70423269231,0.9635698711897667,0,0
FBXL13,497,52,2.75693641851,2.91991730769,0.9441830462965921,4,0
FBXL12,497,52,8.27885995976,8.49195576923,0.9749061564540483,0,0
FBXL15,497,52,8.4351750503,8.03730192308,1.0495033197748245,0,0
CYP27B1,497,52,4.52628812877,3.78975961538,1.194347026760765,0,0
FBXL17,497,52,9.21666177062,9.54005384615,0.9661016509188275,0,0
FBXL16,497,52,6.46173722334,6.80130769231,0.9500727677191096,0,0
FAM169A,497,52,7.83315311871,8.64041346154,0.9065715609074048,0,0
FAM116B,497,52,7.92731267606,7.50718846154,1.0559629236258417,0,0
FAM116A,497,52,8.92330623742,9.23644038462,0.9660979626185422,0,0
FAM169B,497,52,0.270286720322,0.240171153846,1.1253921047282338,342,34
RALGAPA2,497,52,9.79070663984,9.13952692308,1.0712487333581686,0,0
GHDC,497,52,10.3952822938,10.3069403846,1.008571108966445,0,0
H19,497,52,6.88331408451,8.80645384615,0.7816215476463638,0,0
SDK2,497,52,9.06420965795,8.88495769231,1.0201747686199099,0,0
GRP,497,52,2.95707062374,3.45012115385,0.8570918213831267,29,2
TPRN,497,52,9.73132977867,8.67287692308,1.12204172444541,0,0
THSD4,497,52,10.6774678068,11.7141903846,0.9114985719255597,0,0
KIAA0895L,497,52,8.37760181087,7.67955961538,1.0908961230123368,0,0
CHST9,497,52,6.00937726358,8.01005961538,0.750228781323863,3,0
CHST8,497,52,5.3304945674,4.43836730769,1.201003476698726,1,1
COL4A5,497,52,9.88929839034,10.5453076923,0.9377913550645685,0,0
COL4A4,497,52,6.91896639839,7.83611730769,0.8829585018588675,0,0
COL4A3,497,52,5.64169738431,6.27766153846,0.8986940996644496,0,0
COL4A2,497,52,12.2584617706,12.8138384615,0.956658054291716,0,0
COL4A1,497,52,11.5349336016,12.04535,0.9576254406563245,0,0
SLC35D2,497,52,9.21848591549,8.88547115385,1.0374785710156353,0,0
CHST1,497,52,4.70369315895,4.63803846154,1.0141557035284874,0,0
ZNF879,497,52,5.86712756539,6.35981538462,0.9225311130233653,0,0
CHST3,497,52,8.54975975855,9.78535384615,0.8737302598323319,0,0
CHST2,497,52,7.62912655936,9.18895,0.8302500894396134,0,0
CHST5,497,52,3.01457303823,2.65219230769,1.1366344097620804,3,0
CHST4,497,52,0.950355533199,1.885575,0.5040136474015592,109,4
CHST7,497,52,5.98143722334,6.04204615385,0.9899688070956671,0,0
CHST6,497,52,3.57274587525,4.87993653846,0.7321295773198442,2,0
ITGAX,497,52,7.17932615694,6.18496153846,1.1607713503627468,0,0
OR8J1,497,52,0.00135714285714,0.0,n/a,496,52
SNORD115-17,497,52,0.0,0.0,n/a,497,52
BCL2A1,497,52,4.53566720322,4.26756923077,1.0628221729871647,0,0
GPSM2,497,52,7.42031810865,8.20454038462,0.904416062423924,0,0
HLCS,497,52,10.2817,9.832125,1.0457251102889762,0,0
NOG,497,52,2.85689476861,3.99754615385,0.7146621098703188,5,0
LIPG,497,52,5.19950482897,6.85742307692,0.7582301355259037,1,0
ITGAV,497,52,11.2163706237,11.3619442308,0.9871876147189188,0,0
